qid,bm25,baseline,decomposition,yesno,iterative,iterative_pool,iterative_pool_rerank,steps
2hop__123104_77615,0.5,1.0,0.5,0.5,1.0,1.0,1.0,2
2hop__223823_29905,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__754021_20057,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__265989_531490,0.5,0.0,0.5,0.0,0.5,0.5,0.5,2
2hop__85596_807969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2hop__799936_20273,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__299142_347613,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__559273_152023,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__38030_23241,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__83489_747874,0.5,0.0,0.5,0.0,0.5,0.5,0.0,3
2hop__198650_84856,0.5,0.0,0.0,0.5,0.5,0.5,0.0,2
2hop__723404_58556,1.0,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__825727_584042,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__780238_110949,0.5,0.5,0.5,0.5,0.0,0.5,0.5,3
2hop__132954_533882,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__40485_40501,0.0,0.0,0.0,0.0,0.5,0.5,0.5,2
2hop__77878_189357,0.0,0.0,0.5,0.5,0.0,0.0,0.0,2
2hop__10114_599630,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__362912_97805,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__3131_3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2hop__78401_158262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2hop__95970_456836,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__574496_123283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2hop__57209_67668,0.5,0.5,0.5,0.5,0.0,0.5,0.5,2
2hop__796221_18803,0.5,0.5,1.0,0.0,1.0,1.0,1.0,3
2hop__141365_417697,0.5,0.5,0.0,0.5,0.5,0.5,0.5,2
2hop__123545_47134,0.5,0.0,0.5,0.5,0.5,1.0,1.0,2
2hop__109242_113442,0.0,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__157498_127908,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__151705_141308,0.5,0.0,0.0,0.0,0.5,0.5,0.0,2
2hop__242938_18803,0.5,0.5,0.5,0.5,1.0,1.0,1.0,2
2hop__124592_402641,1.0,0.5,0.5,0.0,0.5,0.5,0.5,2
2hop__51261_87295,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2
